Key;Default;cs
SelectedForRound;Selected for round;Vybraní pro kolo
Save;Save;Uložit
Load;Load;Nahrát
New;New;Nové
Game;Game;Hra
Round;Round;Kolo
Delete;Delete;Smazat
Name;Name;Jméno
Result;Result;Výsledek
Export;Export;Export
TotalResults;Total Results;Celkové výsledky
Surname;Surname;Příjmení
Points;Points;Body
Players;Players;Hráči
Player;Player;Hráč
Properties;Properties;Vlastnosti
Print;Print;Tisk
Open;Open;Otevřít
PDF;PDF;PDF
Count;Count;Počet
NewSet;New Set;Nový set
EndGame;End Game;Konec Hry
EndRound;End Round;Konec Kola
Won;Won;Vyhráli
Start;Start;Start
CourtCount;Court Count;Počet kurtů
SelectClass;Select Class;Vybrat třidu
EndClass;Finish Class;Ukončit třídu
NewClass;New Class;Nová třída
Classes;Classes;Třídy
UserBase;User Base;Standartní seznam
